BUSINESS_UNIT;TREE_NODE;AJ_TIPO_LOCA_ID;AJ_DESCR150;TREE_NODE_NUM;PARENT_NODE_NUM
AJM01;ESPTF04             ;LINEA;LINEA DE TERMOFORMADO 4;353255761;226583241
AJM01;ESPTF04-DE01        ;PADRE;DESEMBOBINADOR ;354147821;353255761
AJM01;ESPTF04-DE01ME01    ;HIJO N1;MOTOR  DESEMBOBINADOR;355039881;354147821
AJM01;ESPTF04-DE01RD01    ;HIJO N1;REDUCTOR  DESEMBOBINADOR;355931941;354147821
AJM01;ESPTF04-FM01        ;PADRE;FORMADORA ;356824001;353255761
AJM01;ESPTF04-FM01BV01    ;HIJO N1;BOMBA DE VACIO  FORMADORA;357716061;356824001
AJM01;ESPTF04-FM01BV01ME01;HIJO N2;MOTOR B. VACIO FORMADORA;358608121;357716061
AJM01;ESPTF04-FM01ME01    ;HIJO N1;MOTOR 1 PLACA SUP E INF FORMADORA;359500181;356824001
AJM01;ESPTF04-FM01ME02;HIJO N1;MOTOR 2 PLACA SUP E INF FORMADORA;360392241;356824001
AJM01;ESPTF04-FM01ME03;HIJO N1;MOTOR DE LA CADENA TRANS LAMINA ;360838271;356824001
AJM01;ESPTF04-FM01RD01    ;HIJO N1;REDUCTOR 1 PLACA SUP E INF FORMADORA;361284301;356824001
AJM01;ESPTF04-FM01RD02    ;HIJO N1;REDUCTOR 2 PLACA SUP E INF FORMADORA;362176361;356824001
AJM01;ESPTF04-FM01SR01    ;HIJO N1;CIRCUITO DE AGUA MOKON MOKON FORMADORA;363068421;356824001
AJM01;ESPTF04-FM01SR01BG01;HIJO N2;BOMBA 1 MOKON FORMADORA;363960481;363068421
AJM01;ESPTF04-FM01SR01BG02;HIJO N2;BOMBA 2 MOKON FORMADORA;365744601;363068421
AJM01;ESPTF04-FM01SR01ME01;HIJO N2;MOTOR 1 MOKON FORMADORA;364852541;363068421
AJM01;ESPTF04-FM01SR01ME02;HIJO N2;MOTOR 2 MOKON FORMADORA;366636661;363068421
AJM01;ESPTF04-FM01SR01TE01;HIJO N2;CAJA DE CONEXIONES MOKON FORMADORA;367082691;363068421
AJM01;ESPTF04-FM01SR01TE02;HIJO N2;CAJA DE CONEXIONES MOKON FORMADORA;367305706;363068421
AJM01;ESPTF04-FM01TE01;HIJO N1;CAJA DE PASO ARRANQUE Y PARADA TRANS LAMINA ;357270031;356824001
AJM01;ESPTF04-FM01TE02;HIJO N1;CAJA DE CONEXIONES IZQ TRANS LAMINA ;357047016;356824001
AJM01;ESPTF04-FM01TE03;HIJO N1;CAJA DE CONEXIONES DER TRANS LAMINA ;356935508;356824001
AJM01;ESPTF04-HF01        ;PADRE;HORNO ELECTRICO HORNO;367528721;353255761
AJM01;ESPTF04-ML01;PADRE;MOLINO ;369312841;353255761
AJM01;ESPTF04-ML01ME01;HIJO N1;MOTOR  MOLINO;370204901;369312841
AJM01;ESPTF04-ML01RD01;HIJO N1;REDUCTOR  MOLINO;371989021;369312841
AJM01;ESPTF04-TB01;PADRE;TABLET ;384923891;353255761
AJM01;ESPTF04-TE01;PADRE;TABLERO FUERZA ;374665201;353255761
AJM01;ESPTF04-TE01AA01;HIJO N1;AIRE ACONDICIONADO  TABLERO DE FUERZA;375557261;374665201
AJM01;ESPTF04-TE02;PADRE;MICROPHASER ;376003291;353255761
AJM01;ESPTF04-TE02AA01;HIJO N1;AIRE ACONDICIONADO MICROPHASER  ;376226306;376003291
AJM01;ESPTF04-TQ01;PADRE;TROQUELADORA ;378233441;353255761
AJM01;ESPTF04-TQ01ME01    ;HIJO N1;MOTOR CANOPY TROQUELADORA;379125501;378233441
AJM01;ESPTF04-TQ01ME02    ;HIJO N1;MOTOR TROQUEL TROQUELADORA;380017561;378233441
AJM01;ESPTF04-TQ01ME03    ;HIJO N1;MOTOR SERVOPICK TROQUELADORA;380909621;378233441
AJM01;ESPTF04-TQ01RD01;HIJO N1;REDUCTOR CANOPY TROQUELADORA;381801681;378233441
AJM01;ESPTF04-TQ01RD02;HIJO N1;REDUCTOR TROQUEL TROQUELADORA;382247711;378233441
AJM01;ESPTF04-TQ01RD03    ;HIJO N1;REDUCTOR DEL TROQUEL;382693741;378233441
AJM01;ESPTF04-TQ01TE01    ;HIJO N1;TABLERO DE FUERZA Ç  TROQUELADORA;383585801;378233441
AJM01;ESPTF04-TQ01TP01;HIJO N1;PANEL DE PULSADORES  TROQUELADORA;384477861;378233441
AJM01;ESPTF05             ;LINEA;LINEA DE TERMOFORMADO 5;385369921;226583241
AJM01;ESPTF05-DE01        ;PADRE;DESEMBOBINADOR ;386261981;385369921
AJM01;ESPTF05-DE01ME01    ;HIJO N1;MOTOR DESEMBOBINADOR;387154041;386261981
AJM01;ESPTF05-DE01RD01    ;HIJO N1;REDUCTOR DESEMBOBINADOR;388046101;386261981
AJM01;ESPTF05-FM01        ;PADRE;FORMADORA ;388938161;385369921
AJM01;ESPTF05-FM01BV01    ;HIJO N1;BOMBA DE VACIO FORMADORA;389830221;388938161
AJM01;ESPTF05-FM01BV01ME01;HIJO N2;MOTOR BOMBA DE VACIO FORMADORA;390722281;389830221
AJM01;ESPTF05-FM01ME01    ;HIJO N1;MOTOR MOLDE SUPERIOR FORMADORA;391614341;388938161
AJM01;ESPTF05-FM01ME02;HIJO N1;MOTOR MOLDE INFERIOR FORMADORA;392506401;388938161
AJM01;ESPTF05-FM01ME03;HIJO N1;MOTOR DE LA CADENA TRANS LAMINA FORMADORA;392952431;388938161
AJM01;ESPTF05-FM01RD01    ;HIJO N1;REDUCTOR MOLDE FORMADORA;393398461;388938161
AJM01;ESPTF05-FM01RD02    ;HIJO N1;REDUCTOR MOLDE FORMADORA;394290521;388938161
AJM01;ESPTF05-FM01SR01;HIJO N1;CIRCUITO DE AGUA MOKON FORMADORA;395182581;388938161
AJM01;ESPTF05-FM01SR01BG01;HIJO N2;BOMBA IZQUIERDA MOKON FORMADORA;396074641;395182581
AJM01;ESPTF05-FM01SR01BG02;HIJO N2;BOMBA DERECHA MOKON FORMADORA;396966701;395182581
AJM01;ESPTF05-FM01SR01ME01;HIJO N2;MOTOR MOKON FORMADORA;397858761;395182581
AJM01;ESPTF05-FM01SR01ME02;HIJO N2;MOTOR MOKON FORMADORA;398750821;395182581
AJM01;ESPTF05-FM01SR01TE01;HIJO N2;CAJA DE CONEXIONES MOKON FORMADORA;399196851;395182581
AJM01;ESPTF05-FM01SR01TE02;HIJO N2;CAJA DE CONEXIONES MOKON FORMADORA;399419866;395182581
AJM01;ESPTF05-FM01TE01;HIJO N1;CAJA DE PASO ARRANQUE Y PARADA TRANS LAMINA FORMADORA;399531373;388938161
AJM01;ESPTF05-FM01TE02;HIJO N1;CAJA DE CONEXIONES IZQ TRANS LAMINA FORMADORA;399587127;388938161
AJM01;ESPTF05-FM01TE03;HIJO N1;CAJA DE CONEXIONES DER TRANS LAMINA FORMADORA;399615004;388938161
AJM01;ESPTF05-HF01        ;PADRE;HORNO ELECTRICO ;399642881;385369921
AJM01;ESPTF05-ML01;PADRE;MOLINO ;401427001;385369921
AJM01;ESPTF05-ML01ME01    ;HIJO N1;MOTOR MOLINO;402319061;401427001
AJM01;ESPTF05-ML01ME02    ;HIJO N1;MOTOR DEL BLOWER MOLINO;403211121;401427001
AJM01;ESPTF05-ML01RD01;HIJO N1;REDUCTOR DEL MOLINO;404103181;401427001
AJM01;ESPTF05-TB01;PADRE;TABLET ;406333331;385369921
AJM01;ESPTF05-TE01;PADRE;TABLERO FUERZA ;406779361;385369921
AJM01;ESPTF05-TE01AA01;HIJO N1;AIRE ACONDICIONADO TABLERO ELECTRICO;407671421;406779361
AJM01;ESPTF05-TE02;PADRE;MICROPHASER ;408117451;385369921
AJM01;ESPTF05-TE02AA01;HIJO N1;AIRE ACOND MICROPHASER CTRL ELE FOR;409232526;408117451
AJM01;ESPTF05-TQ01        ;PADRE;TROQUELADORA ;410347601;385369921
AJM01;ESPTF05-TQ01ME01    ;HIJO N1;MOTOR CANOPY TROQUELADORA;411239661;410347601
AJM01;ESPTF05-TQ01ME02    ;HIJO N1;MOTOR TROQUEL TROQUELADORA;412131721;410347601
